n.convolution; d.Gy; dd.Gy; f
0; 0.000000e+00; 0.000000e+00; 9.989351e-01
0; 1.035265e-10; 7.177346e-12; 1.373386e+00
0; 1.109569e-10; 7.692489e-12; 1.306860e-01
0; 1.189207e-10; 8.244606e-12; 1.343725e-01
0; 1.274561e-10; 8.836350e-12; 1.381634e-01
0; 1.366040e-10; 9.470565e-12; 1.420616e-01
0; 1.464086e-10; 1.015030e-11; 1.460702e-01
0; 1.569168e-10; 1.087882e-11; 1.501923e-01
0; 1.681793e-10; 1.165963e-11; 1.544310e-01
0; 1.802501e-10; 1.249649e-11; 1.587899e-01
0; 1.931873e-10; 1.339340e-11; -1.364770e+00
0; 2.070530e-10; 1.435469e-11; 2.536037e-02
0; 2.219139e-10; 1.538498e-11; 2.639184e-02
0; 2.378414e-10; 1.648921e-11; 2.746566e-02
0; 2.549121e-10; 1.767270e-11; 2.858353e-02
0; 2.732081e-10; 1.894113e-11; 2.974741e-02
0; 2.928171e-10; 2.030060e-11; 3.095909e-02
0; 3.138336e-10; 2.175765e-11; 3.222062e-02
0; 3.363586e-10; 2.331927e-11; 3.353417e-02
0; 3.605002e-10; 2.499297e-11; 3.490169e-02
0; 3.863745e-10; 2.678680e-11; 3.632565e-02
0; 4.141060e-10; 2.870939e-11; 3.780831e-02
0; 4.438278e-10; 3.076996e-11; 3.935213e-02
0; 4.756829e-10; 3.297842e-11; 4.095969e-02
0; 5.098243e-10; 3.534540e-11; 4.263366e-02
0; 5.464161e-10; 3.788226e-11; 4.437680e-02
0; 5.856343e-10; 4.060120e-11; 4.619205e-02
0; 6.276673e-10; 4.351529e-11; 4.808242e-02
0; 6.727171e-10; 4.663853e-11; 5.005108e-02
0; 7.210004e-10; 4.998594e-11; 5.210132e-02
0; 7.727491e-10; 5.357361e-11; 5.423657e-02
0; 8.282120e-10; 5.741877e-11; 5.646042e-02
0; 8.876556e-10; 6.153991e-11; 5.877664e-02
0; 9.513657e-10; 6.595685e-11; 6.118907e-02
0; 1.019649e-09; 7.069080e-11; 6.370185e-02
0; 1.092832e-09; 7.576452e-11; 6.631919e-02
0; 1.171269e-09; 8.120240e-11; 6.904552e-02
0; 1.255335e-09; 8.703058e-11; -1.584903e-01
0; 1.345434e-09; 9.327707e-11; 5.279181e-02
0; 1.442001e-09; 9.997189e-11; 5.528686e-02
0; 1.545498e-09; 1.071472e-10; 5.790105e-02
0; 1.656424e-09; 1.148375e-10; 6.064014e-02
0; 1.775311e-09; 1.230798e-10; 6.351017e-02
0; 1.902731e-09; 1.319137e-10; 6.651745e-02
0; 2.039297e-09; 1.413816e-10; 6.966863e-02
0; 2.185664e-09; 1.515290e-10; 7.297065e-02
0; 2.342537e-09; 1.624048e-10; 7.643082e-02
0; 2.510669e-09; 1.740612e-10; 8.005680e-02
0; 2.690869e-09; 1.865541e-10; 8.385660e-02
0; 2.884002e-09; 1.999438e-10; 8.783866e-02
0; 3.090996e-09; 2.142944e-10; 9.201180e-02
0; 3.312848e-09; 2.296751e-10; 9.638529e-02
0; 3.550622e-09; 2.461597e-10; 1.009688e-01
0; 3.805463e-09; 2.638274e-10; 1.057726e-01
0; 4.078594e-09; 2.827632e-10; 1.108074e-01
0; 4.371329e-09; 3.030581e-10; 1.160843e-01
0; 4.685074e-09; 3.248096e-10; 1.216151e-01
0; 5.021338e-09; 3.481223e-10; 1.274121e-01
0; 5.381737e-09; 3.731083e-10; 1.334883e-01
0; 5.768003e-09; 3.998875e-10; 1.398573e-01
0; 6.181993e-09; 4.285889e-10; 1.955113e-01
0; 6.625696e-09; 4.593502e-10; 1.587803e-01
0; 7.101245e-09; 4.923193e-10; 1.662930e-01
0; 7.610926e-09; 5.276548e-10; 1.741612e-01
0; 8.157188e-09; 5.655264e-10; 1.824017e-01
0; 8.742658e-09; 6.061162e-10; 1.910322e-01
0; 9.370149e-09; 6.496192e-10; 2.000710e-01
0; 1.004268e-08; 6.962447e-10; 2.095375e-01
0; 1.076347e-08; 7.462165e-10; 2.194519e-01
0; 1.153601e-08; 7.997751e-10; 2.298355e-01
0; 1.236399e-08; 8.571777e-10; 2.407103e-01
0; 1.325139e-08; 9.187003e-10; 2.520998e-01
0; 1.420249e-08; 9.846386e-10; 2.640281e-01
0; 1.522185e-08; 1.055310e-09; 2.765208e-01
0; 1.631438e-08; 1.131053e-09; 2.896047e-01
0; 1.748532e-08; 1.212232e-09; 3.033076e-01
0; 1.874030e-08; 1.299238e-09; 3.176588e-01
0; 2.008535e-08; 1.392489e-09; 3.326891e-01
0; 2.152695e-08; 1.492433e-09; 3.484305e-01
0; 2.307201e-08; 1.599550e-09; 3.649166e-01
0; 2.472797e-08; 1.714355e-09; 3.821828e-01
0; 2.650278e-08; 1.837401e-09; 4.002658e-01
0; 2.840498e-08; 1.969277e-09; 4.192043e-01
0; 3.044370e-08; 2.110619e-09; 4.390388e-01
0; 3.262875e-08; 2.262106e-09; 4.598116e-01
0; 3.497063e-08; 2.424465e-09; 4.815670e-01
0; 3.748059e-08; 2.598477e-09; 5.043516e-01
0; 4.017071e-08; 2.784979e-09; 5.282139e-01
0; 4.305390e-08; 2.984866e-09; 5.532049e-01
0; 4.614402e-08; 3.199100e-09; 5.793779e-01
0; 4.945594e-08; 3.428711e-09; 6.067887e-01
0; 5.300556e-08; 3.674801e-09; 6.354959e-01
0; 5.680996e-08; 3.938555e-09; 6.655605e-01
0; 6.088741e-08; 4.221238e-09; 6.970468e-01
0; 6.525750e-08; 4.524211e-09; 7.300216e-01
0; 6.994126e-08; 4.848929e-09; 7.645554e-01
0; 7.496119e-08; 5.196954e-09; 8.007216e-01
0; 8.034141e-08; 5.569957e-09; 8.385971e-01
0; 8.610779e-08; 5.969732e-09; 8.782625e-01
0; 9.228805e-08; 6.398201e-09; 9.198021e-01
0; 9.891188e-08; 6.857422e-09; 9.633040e-01
0; 1.060111e-07; 7.349603e-09; 1.008861e+00
0; 1.136199e-07; 7.877109e-09; 1.056568e+00
0; 1.217748e-07; 8.442476e-09; 1.106528e+00
0; 1.305150e-07; 9.048422e-09; 1.158846e+00
0; 1.398825e-07; 9.697859e-09; 1.213632e+00
0; 1.499224e-07; 1.039391e-08; 1.271002e+00
0; 1.606828e-07; 1.113991e-08; 1.331077e+00
0; 1.722156e-07; 1.193946e-08; 1.393982e+00
0; 1.845761e-07; 1.279640e-08; 1.459850e+00
0; 1.978238e-07; 1.371484e-08; 1.528819e+00
0; 2.120223e-07; 1.469921e-08; 1.601032e+00
0; 2.272398e-07; 1.575422e-08; 1.676639e+00
0; 2.435496e-07; 1.688495e-08; 1.755798e+00
0; 2.610300e-07; 1.809684e-08; 1.839461e+00
0; 2.797650e-07; 1.939572e-08; 1.924692e+00
0; 2.998448e-07; 2.078782e-08; 2.016249e+00
0; 3.213657e-07; 2.227983e-08; 2.111316e+00
0; 3.444312e-07; 2.387893e-08; 2.210823e+00
0; 3.691522e-07; 2.559280e-08; 2.314968e+00
0; 3.956475e-07; 2.742969e-08; 2.423960e+00
0; 4.240445e-07; 2.939841e-08; 2.538012e+00
0; 4.544797e-07; 3.150844e-08; 2.657349e+00
0; 4.870992e-07; 3.376991e-08; 2.782200e+00
0; 5.220600e-07; 3.619369e-08; 2.912803e+00
0; 5.595301e-07; 3.879144e-08; 3.049403e+00
0; 5.996895e-07; 4.157563e-08; 3.192252e+00
0; 6.427313e-07; 4.455966e-08; 3.341608e+00
0; 6.888624e-07; 4.775786e-08; 3.497736e+00
0; 7.383044e-07; 5.118561e-08; 3.660905e+00
0; 7.912951e-07; 5.485937e-08; 3.831387e+00
0; 8.480890e-07; 5.879682e-08; 4.009459e+00
0; 9.089593e-07; 6.301687e-08; 4.195397e+00
0; 9.741985e-07; 6.753981e-08; 4.389477e+00
0; 1.044120e-06; 7.238738e-08; 4.591972e+00
0; 1.119060e-06; 7.758287e-08; 4.803147e+00
0; 1.199379e-06; 8.315126e-08; 5.023260e+00
0; 1.285463e-06; 8.911932e-08; 5.252554e+00
0; 1.377725e-06; 9.551572e-08; 5.491255e+00
0; 1.476609e-06; 1.023712e-07; 5.739564e+00
0; 1.582590e-06; 1.097187e-07; 5.997651e+00
0; 1.696178e-06; 1.175936e-07; 6.265651e+00
0; 1.817919e-06; 1.260337e-07; 6.543651e+00
0; 1.948397e-06; 1.350796e-07; 6.831680e+00
0; 2.088240e-06; 1.447748e-07; 7.129704e+00
0; 2.238120e-06; 1.551657e-07; 7.437604e+00
0; 2.398758e-06; 1.663025e-07; 7.755170e+00
0; 2.570925e-06; 1.782386e-07; 8.082079e+00
0; 2.755449e-06; 1.910314e-07; 8.417882e+00
0; 2.953218e-06; 2.047424e-07; 8.761982e+00
0; 3.165180e-06; 2.194375e-07; 9.113616e+00
0; 3.392356e-06; 2.351873e-07; 9.471831e+00
0; 3.635837e-06; 2.520675e-07; 9.835464e+00
0; 3.896794e-06; 2.701592e-07; 1.020312e+01
0; 4.176480e-06; 2.895495e-07; 1.057314e+01
0; 4.476241e-06; 3.103315e-07; 1.094361e+01
0; 4.797516e-06; 3.326050e-07; 1.131231e+01
0; 5.141850e-06; 3.564773e-07; 1.167672e+01
0; 5.510899e-06; 3.820629e-07; 1.203403e+01
0; 5.906435e-06; 4.094848e-07; 1.238101e+01
0; 6.330360e-06; 4.388750e-07; 1.271434e+01
0; 6.784712e-06; 4.703746e-07; 1.303026e+01
0; 7.271675e-06; 5.041350e-07; 1.332485e+01
0; 7.793588e-06; 5.403185e-07; 1.359399e+01
0; 8.352961e-06; 5.790990e-07; 1.383346e+01
0; 8.952482e-06; 6.206630e-07; 1.403903e+01
0; 9.595032e-06; 6.652101e-07; 1.420657e+01
0; 1.028370e-05; 7.129545e-07; 1.433214e+01
0; 1.102180e-05; 7.641257e-07; 1.441214e+01
0; 1.181287e-05; 8.189697e-07; 1.444345e+01
0; 1.266072e-05; 8.777500e-07; 1.442354e+01
0; 1.356942e-05; 9.407491e-07; 1.435061e+01
0; 1.454335e-05; 1.008270e-06; 1.422365e+01
0; 1.558718e-05; 1.080637e-06; 1.404258e+01
0; 1.670592e-05; 1.158198e-06; 1.380825e+01
0; 1.790496e-05; 1.241326e-06; 1.352245e+01
0; 1.919006e-05; 1.330420e-06; 1.318791e+01
0; 2.056740e-05; 1.425909e-06; 1.280820e+01
0; 2.204360e-05; 1.528251e-06; 1.238765e+01
0; 2.362574e-05; 1.637939e-06; 1.193123e+01
0; 2.532144e-05; 1.755500e-06; 1.144435e+01
0; 2.713885e-05; 1.881498e-06; 1.093277e+01
0; 2.908670e-05; 2.016540e-06; 1.040237e+01
0; 3.117435e-05; 2.161274e-06; 9.859049e+00
0; 3.341184e-05; 2.316396e-06; 9.308510e+00
0; 3.580993e-05; 2.482652e-06; 8.756190e+00
0; 3.838013e-05; 2.660840e-06; 8.207127e+00
