bin.no;r.m;d.Gy;F1
0;0.000000e+00;1.000000e-10;1.000000e+00
1;1.062941e-05;1.071773e-10;1.000000e+00
2;1.062941e-05;1.148698e-10;1.000000e+00
3;1.062941e-05;1.231144e-10;1.000000e+00
4;1.062941e-05;1.319508e-10;1.000000e+00
5;1.062941e-05;1.414214e-10;1.000000e+00
6;1.062941e-05;1.515717e-10;1.000000e+00
7;1.062941e-05;1.624505e-10;1.000000e+00
8;1.062941e-05;1.741101e-10;1.000000e+00
9;1.062941e-05;1.866066e-10;1.000000e+00
10;1.062941e-05;2.000000e-10;1.000000e+00
11;1.062941e-05;2.143547e-10;1.000000e+00
12;1.062941e-05;2.297397e-10;1.000000e+00
13;1.062941e-05;2.462289e-10;1.000000e+00
14;1.062941e-05;2.639016e-10;1.000000e+00
15;1.062941e-05;2.828427e-10;1.000000e+00
16;1.062941e-05;3.031433e-10;1.000000e+00
17;1.062941e-05;3.249010e-10;1.000000e+00
18;1.062941e-05;3.482202e-10;1.000000e+00
19;1.062941e-05;3.732132e-10;1.000000e+00
20;1.062941e-05;4.000000e-10;1.000000e+00
21;1.062941e-05;4.287094e-10;1.000000e+00
22;1.062941e-05;4.594793e-10;1.000000e+00
23;1.062941e-05;4.924578e-10;1.000000e+00
24;1.062941e-05;5.278032e-10;1.000000e+00
25;1.062941e-05;5.656854e-10;1.000000e+00
26;1.062941e-05;6.062866e-10;1.000000e+00
27;1.062941e-05;6.498019e-10;1.000000e+00
28;1.062941e-05;6.964405e-10;1.000000e+00
29;1.062941e-05;7.464264e-10;1.000000e+00
30;1.062941e-05;8.000000e-10;1.000000e+00
31;1.062941e-05;8.574188e-10;1.000000e+00
32;1.062941e-05;9.189587e-10;1.000000e+00
33;1.062941e-05;9.849155e-10;1.000000e+00
34;1.062941e-05;1.055606e-09;1.000000e+00
35;1.062941e-05;1.131371e-09;1.000000e+00
36;1.062941e-05;1.212573e-09;9.999999e-01
37;1.062941e-05;1.299604e-09;1.000000e+00
38;1.062941e-05;1.392881e-09;1.000000e+00
39;1.062941e-05;1.492853e-09;1.000000e+00
40;1.062941e-05;1.600000e-09;9.999999e-01
41;1.062941e-05;1.714838e-09;9.999999e-01
42;1.062941e-05;1.837917e-09;9.999999e-01
43;1.062941e-05;1.969831e-09;9.999999e-01
44;1.062941e-05;2.111213e-09;9.999999e-01
45;1.062941e-05;2.262742e-09;9.999999e-01
46;1.062941e-05;2.425147e-09;9.999999e-01
47;1.062941e-05;2.599208e-09;9.999999e-01
48;1.062941e-05;2.785762e-09;9.999999e-01
49;1.062941e-05;2.985706e-09;9.999998e-01
50;1.062941e-05;3.200000e-09;9.999998e-01
51;1.062941e-05;3.429675e-09;9.999998e-01
52;1.062941e-05;3.675835e-09;9.999998e-01
53;1.062941e-05;3.939662e-09;9.999998e-01
54;1.062941e-05;4.222425e-09;9.999997e-01
55;1.062941e-05;4.525483e-09;9.999997e-01
56;1.062941e-05;4.850293e-09;9.999997e-01
57;1.062941e-05;5.198415e-09;9.999996e-01
58;1.062941e-05;5.571524e-09;9.999996e-01
59;1.062941e-05;5.971411e-09;9.999995e-01
60;1.062941e-05;6.400000e-09;9.999994e-01
61;1.062941e-05;6.859350e-09;9.999994e-01
62;1.062941e-05;7.351670e-09;9.999993e-01
63;1.062941e-05;7.879324e-09;9.999992e-01
64;1.062941e-05;8.444851e-09;9.999991e-01
65;1.062941e-05;9.050967e-09;9.999990e-01
