x.m;y.m;d.Gy
2.324040e-05;2.324040e-05;7.263952e-01
2.324540e-05;2.324040e-05;7.214394e-01
2.325040e-05;2.324040e-05;7.166113e-01
2.325540e-05;2.324040e-05;7.119113e-01
2.326040e-05;2.324040e-05;7.073860e-01
2.326540e-05;2.324040e-05;7.029412e-01
2.327040e-05;2.324040e-05;6.986462e-01
2.327540e-05;2.324040e-05;6.944759e-01
2.328040e-05;2.324040e-05;6.904052e-01
2.328540e-05;2.324040e-05;6.865023e-01
2.324040e-05;2.324540e-05;7.219850e-01
2.324540e-05;2.324540e-05;7.172712e-01
2.325040e-05;2.324540e-05;7.127181e-01
2.325540e-05;2.324540e-05;7.082797e-01
2.326040e-05;2.324540e-05;7.040033e-01
2.326540e-05;2.324540e-05;6.998184e-01
2.327040e-05;2.324540e-05;6.957245e-01
2.327540e-05;2.324540e-05;6.917674e-01
2.328040e-05;2.324540e-05;6.878991e-01
2.328540e-05;2.324540e-05;6.841646e-01
2.324040e-05;2.325040e-05;7.177190e-01
2.324540e-05;2.325040e-05;7.133256e-01
2.325040e-05;2.325040e-05;7.090101e-01
2.325540e-05;2.325040e-05;7.048675e-01
2.326040e-05;2.325040e-05;7.007815e-01
2.326540e-05;2.325040e-05;6.967991e-01
2.327040e-05;2.325040e-05;6.929202e-01
2.327540e-05;2.325040e-05;6.891442e-01
2.328040e-05;2.325040e-05;6.854936e-01
2.328540e-05;2.325040e-05;6.819438e-01
2.324040e-05;2.325540e-05;7.136423e-01
2.324540e-05;2.325540e-05;7.095079e-01
2.325040e-05;2.325540e-05;7.054871e-01
2.325540e-05;2.325540e-05;7.015579e-01
2.326040e-05;2.325540e-05;6.976746e-01
2.326540e-05;2.325540e-05;6.939314e-01
2.327040e-05;2.325540e-05;6.902582e-01
2.327540e-05;2.325540e-05;6.866782e-01
2.328040e-05;2.325540e-05;6.832143e-01
2.328540e-05;2.325540e-05;6.798422e-01
2.324040e-05;2.326040e-05;7.097994e-01
2.324540e-05;2.326040e-05;7.059105e-01
2.325040e-05;2.326040e-05;7.021249e-01
2.325540e-05;2.326040e-05;6.983976e-01
2.326040e-05;2.326040e-05;6.947532e-01
2.326540e-05;2.326040e-05;6.911926e-01
2.327040e-05;2.326040e-05;6.877163e-01
2.327540e-05;2.326040e-05;6.843242e-01
2.328040e-05;2.326040e-05;6.810162e-01
2.328540e-05;2.326040e-05;6.778386e-01
2.324040e-05;2.326540e-05;7.061177e-01
2.324540e-05;2.326540e-05;7.024613e-01
2.325040e-05;2.326540e-05;6.988992e-01
2.325540e-05;2.326540e-05;6.953628e-01
2.326040e-05;2.326540e-05;6.919239e-01
2.326540e-05;2.326540e-05;6.885602e-01
2.327040e-05;2.326540e-05;6.852722e-01
2.327540e-05;2.326540e-05;6.820603e-01
2.328040e-05;2.326540e-05;6.789245e-01
2.328540e-05;2.326540e-05;6.758879e-01
2.324040e-05;2.327040e-05;7.025945e-01
2.324540e-05;2.327040e-05;6.991821e-01
2.325040e-05;2.327040e-05;6.958087e-01
2.325540e-05;2.327040e-05;6.924998e-01
2.326040e-05;2.327040e-05;6.892334e-01
2.326540e-05;2.327040e-05;6.860577e-01
2.327040e-05;2.327040e-05;6.829733e-01
2.327540e-05;2.327040e-05;6.799341e-01
2.328040e-05;2.327040e-05;6.769403e-01
2.328540e-05;2.327040e-05;6.740620e-01
2.324040e-05;2.327540e-05;6.992504e-01
2.324540e-05;2.327540e-05;6.960472e-01
2.325040e-05;2.327540e-05;6.928755e-01
2.325540e-05;2.327540e-05;6.897608e-01
2.326040e-05;2.327540e-05;6.867047e-01
2.326540e-05;2.327540e-05;6.837087e-01
2.327040e-05;2.327540e-05;6.807501e-01
2.327540e-05;2.327540e-05;6.778999e-01
2.328040e-05;2.327540e-05;6.750883e-01
2.328540e-05;2.327540e-05;6.723388e-01
2.324040e-05;2.328040e-05;6.961294e-01
2.324540e-05;2.328040e-05;6.931013e-01
2.325040e-05;2.328040e-05;6.900980e-01
2.325540e-05;2.328040e-05;6.871683e-01
2.326040e-05;2.328040e-05;6.842906e-01
2.326540e-05;2.328040e-05;6.814663e-01
2.327040e-05;2.328040e-05;6.786965e-01
2.327540e-05;2.328040e-05;6.759818e-01
2.328040e-05;2.328040e-05;6.733228e-01
2.328540e-05;2.328040e-05;6.707198e-01
2.324040e-05;2.328540e-05;6.931347e-01
2.324540e-05;2.328540e-05;6.902953e-01
2.325040e-05;2.328540e-05;6.874979e-01
2.325540e-05;2.328540e-05;6.847446e-01
2.326040e-05;2.328540e-05;6.820139e-01
2.326540e-05;2.328540e-05;6.793539e-01
2.327040e-05;2.328540e-05;6.767190e-01
2.327540e-05;2.328540e-05;6.741568e-01
2.328040e-05;2.328540e-05;6.716679e-01
2.328540e-05;2.328540e-05;6.692059e-01
